"Philosopher","Influenced"
"http://dbpedia.org/resource/Walter_of_Bruges","http://dbpedia.org/resource/Peter_John_Olivi"
"http://dbpedia.org/resource/Walter_of_Bruges","http://dbpedia.org/resource/Matthew_of_Aquasparta"
"http://dbpedia.org/resource/Wiebe_Bijker","http://dbpedia.org/resource/Sally_Wyatt"
"http://dbpedia.org/resource/Wilfred_Stein","http://dbpedia.org/resource/Lewis_Wolpert"
"http://dbpedia.org/resource/Wilfred_Stein","http://dbpedia.org/resource/Eric_Barnard"
"http://dbpedia.org/resource/Wilfred_Stein","http://dbpedia.org/resource/Michael_M._Gottesman"
"http://dbpedia.org/resource/Wilfred_Stein","http://dbpedia.org/resource/Antonio_Tito_Fojo"
"http://dbpedia.org/resource/Wilfred_Stein","http://dbpedia.org/resource/Hagai_Ginsburg"
"http://dbpedia.org/resource/Wilfred_Stein","http://dbpedia.org/resource/Igor_Roninson"
"http://dbpedia.org/resource/Wilfred_Stein","http://dbpedia.org/resource/Michael_Lanzer"
"http://dbpedia.org/resource/Wilfred_Stein","http://dbpedia.org/resource/Steven_Karlish"
"http://dbpedia.org/resource/Wilfred_Stein","http://dbpedia.org/resource/Suresh_Ambudkar"
"http://dbpedia.org/resource/Wilfred_Stein","http://dbpedia.org/resource/Susan_Bates"
"http://dbpedia.org/resource/Wilfred_Stein","http://dbpedia.org/resource/Thomas_Litman"
"http://dbpedia.org/resource/Wilfred_Stein","http://dbpedia.org/resource/Thomas_Zeuthen"
"http://dbpedia.org/resource/Wilfred_Talbot_Smith","http://dbpedia.org/resource/Jack_Parsons_(rocket_engineer)"
"http://dbpedia.org/resource/Wilfrid_Sellars","http://dbpedia.org/resource/Ray_Brassier"
"http://dbpedia.org/resource/Wilfrid_Sellars","http://dbpedia.org/resource/Annette_Baier"
"http://dbpedia.org/resource/Wilfrid_Sellars","http://dbpedia.org/resource/Daniel_Dennett"
"http://dbpedia.org/resource/Wilfrid_Sellars","http://dbpedia.org/resource/John_McDowell"
"http://dbpedia.org/resource/Wilfrid_Sellars","http://dbpedia.org/resource/Bas_van_Fraassen"
"http://dbpedia.org/resource/Wilfrid_Sellars","http://dbpedia.org/resource/Ruth_Millikan"
"http://dbpedia.org/resource/Wilfrid_Sellars","http://dbpedia.org/resource/Richard_Rorty"
"http://dbpedia.org/resource/Wilfrid_Sellars","http://dbpedia.org/resource/Robert_Brandom"
"http://dbpedia.org/resource/Wilfrid_Sellars","http://dbpedia.org/resource/Paul_Churchland"
"http://dbpedia.org/resource/Wilfrid_Sellars","http://dbpedia.org/resource/Jay_Rosenberg"
"http://dbpedia.org/resource/Wilhelm_Dilthey","http://dbpedia.org/resource/R._G._Collingwood"
"http://dbpedia.org/resource/Wilhelm_Dilthey","http://dbpedia.org/resource/Hans-Georg_Gadamer"
"http://dbpedia.org/resource/Wilhelm_Dilthey","http://dbpedia.org/resource/Georg_Simmel"
"http://dbpedia.org/resource/Wilhelm_Dilthey","http://dbpedia.org/resource/Rudolf_Steiner"
"http://dbpedia.org/resource/Wilhelm_Dilthey","http://dbpedia.org/resource/Franz_Boas"
"http://dbpedia.org/resource/Wilhelm_Dilthey","http://dbpedia.org/resource/José_Ortega_y_Gasset"
"http://dbpedia.org/resource/Wilhelm_Dilthey","http://dbpedia.org/resource/Jürgen_Habermas"
"http://dbpedia.org/resource/Wilhelm_Dilthey","http://dbpedia.org/resource/Martin_Heidegger"
"http://dbpedia.org/resource/Wilhelm_Dilthey","http://dbpedia.org/resource/Karl_Jaspers"
"http://dbpedia.org/resource/Wilhelm_Dilthey","http://dbpedia.org/resource/Max_Weber"
"http://dbpedia.org/resource/Wilhelm_Windelband","http://dbpedia.org/resource/Ernst_Troeltsch"
"http://dbpedia.org/resource/Wilhelm_Windelband","http://dbpedia.org/resource/Albert_Schweitzer"
"http://dbpedia.org/resource/Wilhelm_Windelband","http://dbpedia.org/resource/Edmund_Husserl"
"http://dbpedia.org/resource/Wilhelm_Windelband","http://dbpedia.org/resource/Heinrich_Rickert"
"http://dbpedia.org/resource/Wilhelm_Windelband","http://dbpedia.org/resource/Max_Weber"
"http://dbpedia.org/resource/Wilhelm_von_Humboldt","http://dbpedia.org/resource/Ernst_Cassirer"
"http://dbpedia.org/resource/Wilhelm_von_Humboldt","http://dbpedia.org/resource/Alexander_Potebnja"
"http://dbpedia.org/resource/Wilhelm_von_Humboldt","http://dbpedia.org/resource/August_Schleicher"
"http://dbpedia.org/resource/Wilhelm_von_Humboldt","http://dbpedia.org/resource/Noam_Chomsky"
"http://dbpedia.org/resource/Wilhelm_von_Humboldt","http://dbpedia.org/resource/John_Stuart_Mill"
"http://dbpedia.org/resource/Wilhelm_von_Humboldt","http://dbpedia.org/resource/Joxe_Azurmendi"
"http://dbpedia.org/resource/Wilhelm_von_Humboldt","http://dbpedia.org/resource/Valentin_Voloshinov"
"http://dbpedia.org/resource/Willard_Van_Orman_Quine","http://dbpedia.org/resource/Donald_Davidson_(philosopher)"
"http://dbpedia.org/resource/Willard_Van_Orman_Quine","http://dbpedia.org/resource/Hao_Wang_(academic)"
"http://dbpedia.org/resource/Willard_Van_Orman_Quine","http://dbpedia.org/resource/Hilary_Putnam"
"http://dbpedia.org/resource/Willard_Van_Orman_Quine","http://dbpedia.org/resource/Noam_Chomsky"
"http://dbpedia.org/resource/Willard_Van_Orman_Quine","http://dbpedia.org/resource/Dagfinn_Føllesdal"
"http://dbpedia.org/resource/Willard_Van_Orman_Quine","http://dbpedia.org/resource/Daniel_Dennett"
"http://dbpedia.org/resource/Willard_Van_Orman_Quine","http://dbpedia.org/resource/David_Lewis_(philosopher)"
"http://dbpedia.org/resource/Willard_Van_Orman_Quine","http://dbpedia.org/resource/Roger_Gibson"
"http://dbpedia.org/resource/Willard_Van_Orman_Quine","http://dbpedia.org/resource/Gilbert_Harman"
"http://dbpedia.org/resource/Willard_Van_Orman_Quine","http://dbpedia.org/resource/Richard_Rorty"
"http://dbpedia.org/resource/Willard_Van_Orman_Quine","http://dbpedia.org/resource/Penelope_Maddy"
"http://dbpedia.org/resource/Willard_Van_Orman_Quine","http://dbpedia.org/resource/Peter_van_Inwagen"
"http://dbpedia.org/resource/William_A._Earle","http://dbpedia.org/resource/Edward_S._Casey"
"http://dbpedia.org/resource/William_A._Earle","http://dbpedia.org/resource/Peter_Suber"
"http://dbpedia.org/resource/William_A._Earle","http://dbpedia.org/resource/A._G._Rud"
"http://dbpedia.org/resource/Al-Ma'arri","http://dbpedia.org/resource/Turan_Dursun"
"http://dbpedia.org/resource/Al-Ma'arri","http://dbpedia.org/resource/Taha_Hussein"
"http://dbpedia.org/resource/Al-Mutanabbi","http://dbpedia.org/resource/Mohammed_Ridha_Al-Shabibi"
"http://dbpedia.org/resource/Al-Mutanabbi","http://dbpedia.org/resource/Huzaifa_Shabbir_bhai_Unjhawala"
"http://dbpedia.org/resource/Al-Mutanabbi","http://dbpedia.org/resource/Abd_al-Wahhab_Al-Bayati"
"http://dbpedia.org/resource/Al-Sijzi","http://dbpedia.org/resource/Al-Biruni"
"http://dbpedia.org/resource/Emer_de_Vattel","http://dbpedia.org/resource/Alexander_Hamilton"
"http://dbpedia.org/resource/Emer_de_Vattel","http://dbpedia.org/resource/George_Washington"
"http://dbpedia.org/resource/Emer_de_Vattel","http://dbpedia.org/resource/Benjamin_Franklin"
"http://dbpedia.org/resource/Emer_de_Vattel","http://dbpedia.org/resource/Western_philosophy"
"http://dbpedia.org/resource/Emil_Cioran","http://dbpedia.org/resource/Nick_Land"
"http://dbpedia.org/resource/Emil_Cioran","http://dbpedia.org/resource/Jean_Baudrillard"
"http://dbpedia.org/resource/Emil_Cioran","http://dbpedia.org/resource/Thomas_Ligotti"
