"Philosopher","Influenced_By","Influenced"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/Acts_of_Union_1707","http://dbpedia.org/resource/Alexis_de_Tocqueville"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/Aristotle","http://dbpedia.org/resource/Alexis_de_Tocqueville"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/Nicolas_Malebranche","http://dbpedia.org/resource/Alexis_de_Tocqueville"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/Cicero","http://dbpedia.org/resource/Alexis_de_Tocqueville"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/John_Locke","http://dbpedia.org/resource/Alexis_de_Tocqueville"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/Polybius","http://dbpedia.org/resource/Alexis_de_Tocqueville"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/Thomas_Hobbes","http://dbpedia.org/resource/Alexis_de_Tocqueville"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/Jean_Bodin","http://dbpedia.org/resource/Alexis_de_Tocqueville"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/René_Descartes","http://dbpedia.org/resource/Alexis_de_Tocqueville"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/Acts_of_Union_1707","http://dbpedia.org/resource/Émile_Durkheim"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/Aristotle","http://dbpedia.org/resource/Émile_Durkheim"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/Nicolas_Malebranche","http://dbpedia.org/resource/Émile_Durkheim"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/Cicero","http://dbpedia.org/resource/Émile_Durkheim"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/John_Locke","http://dbpedia.org/resource/Émile_Durkheim"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/Polybius","http://dbpedia.org/resource/Émile_Durkheim"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/Thomas_Hobbes","http://dbpedia.org/resource/Émile_Durkheim"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/Jean_Bodin","http://dbpedia.org/resource/Émile_Durkheim"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/René_Descartes","http://dbpedia.org/resource/Émile_Durkheim"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/Acts_of_Union_1707","http://dbpedia.org/resource/Adam_Ferguson"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/Aristotle","http://dbpedia.org/resource/Adam_Ferguson"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/Nicolas_Malebranche","http://dbpedia.org/resource/Adam_Ferguson"
"http://dbpedia.org/resource/Montesquieu","http://dbpedia.org/resource/Cicero","http://dbpedia.org/resource/Adam_Ferguson"
