"Philosopher","Influenced_By"
"http://dbpedia.org/resource/Mou_Zongsan","http://dbpedia.org/resource/Confucius"
"http://dbpedia.org/resource/Moulana_Hameed_Uddin_Husami_Aqil_Sahab","http://dbpedia.org/resource/Muhammad_Iqbal"
"http://dbpedia.org/resource/Moulana_Hameed_Uddin_Husami_Aqil_Sahab","http://dbpedia.org/resource/Ashraf_Ali_Thanwi"
"http://dbpedia.org/resource/Muhammad_Farooq_Khan","http://dbpedia.org/resource/Averroes"
"http://dbpedia.org/resource/Muhammad_Farooq_Khan","http://dbpedia.org/resource/Abul_A'la_Maududi"
"http://dbpedia.org/resource/Muhammad_Farooq_Khan","http://dbpedia.org/resource/Hamiduddin_Farahi"
"http://dbpedia.org/resource/Muhammad_Farooq_Khan","http://dbpedia.org/resource/Javed_Ahmad_Ghamidi"
"http://dbpedia.org/resource/Muhammad_Farooq_Khan","http://dbpedia.org/resource/Amin_Ahsan_Islahi"
"http://dbpedia.org/resource/Muhammad_Idrees_Dahiri","http://dbpedia.org/resource/Muhammad_Tahir"
"http://dbpedia.org/resource/Muhammad_Idrees_Dahiri","http://dbpedia.org/resource/Abdul_Qadir_Gilani"
"http://dbpedia.org/resource/Muhammad_Idrees_Dahiri","http://dbpedia.org/resource/Ahmad_Sirhindi"
"http://dbpedia.org/resource/Muhammad_Iqbal","http://dbpedia.org/resource/Ali_Hujwiri"
"http://dbpedia.org/resource/Muhammad_Iqbal","http://dbpedia.org/resource/Henri_Bergson"
"http://dbpedia.org/resource/Muhammad_Iqbal","http://dbpedia.org/resource/Bismil_Azimabadi"
"http://dbpedia.org/resource/Muhammad_Iqbal","http://dbpedia.org/resource/Abd_al-Karim_al-Jili"
"http://dbpedia.org/resource/Muhammad_Iqbal","http://dbpedia.org/resource/Syed_Mir_Hassan"
"http://dbpedia.org/resource/Muhammad_Iqbal","http://dbpedia.org/resource/Dante_Alighieri"
"http://dbpedia.org/resource/Muhammad_Iqbal","http://dbpedia.org/resource/Johann_Wolfgang_von_Goethe"
"http://dbpedia.org/resource/Muhammad_Iqbal","http://dbpedia.org/resource/Rumi"
"http://dbpedia.org/resource/Muhammad_Iqbal","http://dbpedia.org/resource/Friedrich_Nietzsche"
"http://dbpedia.org/resource/Muhammad_Iqbal","http://dbpedia.org/resource/Jami"
"http://dbpedia.org/resource/Muhammad_Iqbal","http://dbpedia.org/resource/Thomas_Walker_Arnold"
"http://dbpedia.org/resource/Muhammad_Iqbal","http://dbpedia.org/resource/Vladimir_Lenin"
"http://dbpedia.org/resource/Muhammad_Iqbal","http://dbpedia.org/resource/Ibn_Arabi"
"http://dbpedia.org/resource/Muhammad_Iqbal","http://dbpedia.org/resource/Mir_Sayyid_Ali_Hamadani"
"http://dbpedia.org/resource/Muhammad_Tahir","http://dbpedia.org/resource/Abu_Hanifa"
"http://dbpedia.org/resource/Muhammad_Tahir","http://dbpedia.org/resource/Ahmad_Sirhindi"
"http://dbpedia.org/resource/Muhammad_Tahir","http://dbpedia.org/resource/Abu_al-Hassan_al-Kharaqani"
"http://dbpedia.org/resource/Muhammad_Tahir","http://dbpedia.org/resource/Baha'_al-Din_Naqshband"
"http://dbpedia.org/resource/Muhammad_Usman_Damani","http://dbpedia.org/resource/Abu_Hanifa"
"http://dbpedia.org/resource/Muhammad_Usman_Damani","http://dbpedia.org/resource/Ahmad_Sirhindi"
"http://dbpedia.org/resource/Muhammad_Usman_Damani","http://dbpedia.org/resource/Haji_Dost_Muhammad_Qandhari"
"http://dbpedia.org/resource/Murray_Bookchin","http://dbpedia.org/resource/Emma_Goldman"
"http://dbpedia.org/resource/Murray_Bookchin","http://dbpedia.org/resource/Ernst_Bloch"
"http://dbpedia.org/resource/Murray_Bookchin","http://dbpedia.org/resource/Saul_Alinsky"
"http://dbpedia.org/resource/Murray_Bookchin","http://dbpedia.org/resource/Frankfurt_School"
"http://dbpedia.org/resource/Murray_Bookchin","http://dbpedia.org/resource/Hannah_Arendt"
"http://dbpedia.org/resource/Murray_Bookchin","http://dbpedia.org/resource/Lewis_Mumford"
"http://dbpedia.org/resource/Murray_Bookchin","http://dbpedia.org/resource/Georg_Wilhelm_Friedrich_Hegel"
"http://dbpedia.org/resource/Murray_Bookchin","http://dbpedia.org/resource/Herbert_Marcuse"
"http://dbpedia.org/resource/Murray_Bookchin","http://dbpedia.org/resource/Antonio_Gramsci"
"http://dbpedia.org/resource/Murray_Bookchin","http://dbpedia.org/resource/Aristotle"
"http://dbpedia.org/resource/Murray_Bookchin","http://dbpedia.org/resource/Charles_Darwin"
"http://dbpedia.org/resource/Murray_Bookchin","http://dbpedia.org/resource/Charles_Fourier"
"http://dbpedia.org/resource/Murray_Bookchin","http://dbpedia.org/resource/Françoise_d'Eaubonne"
"http://dbpedia.org/resource/Murray_Bookchin","http://dbpedia.org/resource/Friedrich_Nietzsche"
"http://dbpedia.org/resource/Murray_Bookchin","http://dbpedia.org/resource/Jacques_Derrida"
"http://dbpedia.org/resource/Murray_Bookchin","http://dbpedia.org/resource/Jane_Jacobs"
"http://dbpedia.org/resource/Murray_Bookchin","http://dbpedia.org/resource/Sigmund_Freud"
"http://dbpedia.org/resource/Murray_Bookchin","http://dbpedia.org/resource/Erwin_Anton_Gutkind"
"http://dbpedia.org/resource/Murray_Bookchin","http://dbpedia.org/resource/Karl_Marx"
"http://dbpedia.org/resource/Murray_Bookchin","http://dbpedia.org/resource/Karl_Polanyi"
"http://dbpedia.org/resource/Murray_Bookchin","http://dbpedia.org/resource/Peter_Kropotkin"
"http://dbpedia.org/resource/Murtada_Sharif_'Askari","http://dbpedia.org/resource/Avicenna"
"http://dbpedia.org/resource/Murtada_Sharif_'Askari","http://dbpedia.org/resource/Shahab_al-Din_Yahya_ibn_Habash_Suhrawardi"
"http://dbpedia.org/resource/Murtada_Sharif_'Askari","http://dbpedia.org/resource/Mir_Damad"
"http://dbpedia.org/resource/Walter_Benjamin","http://dbpedia.org/resource/Johann_Jakob_Bachofen"
"http://dbpedia.org/resource/Walter_Benjamin","http://dbpedia.org/resource/Heinrich_Rickert"
"http://dbpedia.org/resource/Walter_Benjamin","http://dbpedia.org/resource/Leo_Strauss"
"http://dbpedia.org/resource/Walter_Benjamin","http://dbpedia.org/resource/Gershom_Scholem"
"http://dbpedia.org/resource/Walter_Benjamin","http://dbpedia.org/resource/Ludwig_Klages"
"http://dbpedia.org/resource/Walter_Benjamin","http://dbpedia.org/resource/Bertolt_Brecht"
"http://dbpedia.org/resource/Walter_Benjamin","http://dbpedia.org/resource/Charles_Baudelaire"
"http://dbpedia.org/resource/Walter_Benjamin","http://dbpedia.org/resource/Franz_Kafka"
"http://dbpedia.org/resource/Walter_Benjamin","http://dbpedia.org/resource/Friedrich_Hölderlin"
"http://dbpedia.org/resource/Walter_Benjamin","http://dbpedia.org/resource/Kabbalah"
"http://dbpedia.org/resource/Walter_Benjamin","http://dbpedia.org/resource/Theodor_W._Adorno"
"http://dbpedia.org/resource/Walter_Benjamin","http://dbpedia.org/resource/Martin_Buber"
"http://dbpedia.org/resource/Walter_Benjamin","http://dbpedia.org/resource/Marcel_Proust"
"http://dbpedia.org/resource/Walter_Benjamin","http://dbpedia.org/resource/Novalis"
"http://dbpedia.org/resource/Walter_Benjamin","http://dbpedia.org/resource/Eric_Gutkind"
